id,name,partyLabel,constituencyLabel,homepage
manuel.dembo,MANUEL LOPES MONIZ DEMBO,MPLA,Círculo Elaitoral Provincial do Bengo,http://www.parlamento.ao/web/manuel.dembo
manuel.savihemba,MANUEL SAVIHEMBA,UNITA,Circulo Eleitoral Provincial do Bié,http://www.parlamento.ao/web/manuel.savihemba
manuel.vicente,MANUEL DOMINGOS VICENTE,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/manuel.vicente
manuel.mucanda,MANUEL SAMPAIO MUCANDA,CASA-CE,Circulo Eleitoral Provincial do Namibe,http://www.parlamento.ao/web/manuel.mucanda
manuel.quarta,MANUEL TEODORO DE JESUS QUARTA,MPLA,"",http://www.parlamento.ao/web/manuel.quarta
manuel.taby,MANUEL DOMINGOS TABY,MPLA,Círculo Eleitoral Provincial do Cunene,http://www.parlamento.ao/web/manuel.taby
manuel.fernandes,MANUEL FERNANDES,CASA-CE,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/manuel.fernandes
manuel.muxito,MANUEL MUTEBA MUXITO,"",Círculo Eleitoral Nacional,http://www.parlamento.ao/web/manuel.muxito
maria.fortes,MARIA CAROLINA MANUEL FIEL MARIA FORTES,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/maria.fortes
maria.mutunda,MARIA ISABEL MALUNGA MUTUNDA,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/maria.mutunda
maria.ornelas,MARIA JÚLIA DE CERCAL ORNELAS,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/maria.ornelas
maria.tavares,MARIA ODETH SANCHES TAVARES,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/maria.tavares
maria.escovalo,MARIA ROSA ANTONINA GILBERTA TYIPINGE ESCOVALO,MPLA,Circulo Eleitoral Provincial da Huíla,http://www.parlamento.ao/web/maria.escovalo
maria.chivukuvuku,MARIA VICTÓRIA FERREIRA CHIVUKUVUKU,CASA-CE,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/maria.chivukuvuku
maria.fernandes,MARIA JOSÉ DE ENCARNAÇÃO FERNANDES,MPLA,Círculo Eleitoral Provincial do Zaire,http://www.parlamento.ao/web/maria.fernandes
maria.taveya,MARIA SALOMÉ TAVEYA,MPLA,Círculo Eleitoral Provincial do Cunene,http://www.parlamento.ao/web/maria.taveya
maria.correia,MARIA AUGUSTA LEONEL CORREIA,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/maria.correia
maria.r.fernandes,MARIA DE LOURDES ROQUE CAPOSSO FERNANDES,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/maria.r.fernandes
maria.andrade,MARIA LUÍSA DE ANDRADE,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/maria.andrade
maria.valente,MARIA IDALINA DE OLIVEIRA VALENTE,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/maria.valente
maria.nascimento,MARIA DO CARMO ASSIS DO NASCIMENTO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/maria.nascimento
mariana.afonso,MARIANA PAULO ANDRÉ AFONSO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/mariana.afonso
mateus.junior,MATEUS ISABEL JÚNIOR,MPLA,Circulo Eleitoral Nacional,http://www.parlamento.ao/web/mateus.junior
maurilio.luiele,MAURÍLIO LUCIANO SABINO LUIELE,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/maurilio.luiele
mihaela.webba,MIHAELA EZSÉBET NETO WEBBA KOPUMI,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/mihaela.webba
miraldina.jamba,MIRALDINA OLGA MARCOS JAMBA,UNITA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/miraldina.jamba
monteiro.kapunga,MONTEIRO PINTO CAPUNGA,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/monteiro.kapunga
morais.tomas,MORAIS ANTÓNIO NEVES TOMÁS,MPLA,Círculo Eleitoral Provincial do Moxico,http://www.parlamento.ao/web/morais.tomas
mario.salomao,MÁRIO SALOMÃO,MPLA,Circulo Eleitoral Provincial do Moxico,http://www.parlamento.ao/web/mario.salomao
mario.andrade,MÁRIO PINTO DE ANDRADE,MPLA,Círculo Elaitoral Provincial de Luanda,http://www.parlamento.ao/web/mario.andrade
nazare.mendes,NAZARÉ DOS ANJOS MENDES,MPLA,Círculo Elaitoral Provincial do Uíge,http://www.parlamento.ao/web/nazare.mendes
nvunda.salucombo,NVUNDA BENVINDO DAS NEVES SALUCOMBO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/nvunda.salucombo
odete.santos,ODETE DA CONCEIÇÃO DOMINGOS DOS SANTOS,MPLA,Círculo Eleitoral Provincial do Cuanza Sul,http://www.parlamento.ao/web/odete.santos
odeth.joaquim,ODETH LUDOVINA BACA JOAQUIM,CASA-CE,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/odeth.joaquim
ovidio.pahula,OVÍDIO PAHULA,MPLA,Circulo Eleitoral Provincial do Cunene,http://www.parlamento.ao/web/ovidio.pahula
paulino.mpoloantinu,PAULINO NZUZI MPOLOANTINU,MPLA,Círculo Eleitoral Provincial do Zaire,http://www.parlamento.ao/web/paulino.mpoloantinu
paulo.pombolo,PAULO POMBOLO,MPLA,Círculo Elaitoral Provincial do Uíge,http://www.parlamento.ao/web/paulo.pombolo
paulo.carvalho,PAULO HORÁCIO DE SEQUEIRA E CARVALHO,MPLA,Círculo Eleitoral Nacional,http://www.parlamento.ao/web/paulo.carvalho
